system,k,attack_class,n,p50_total_ms,effk_med,L1_rate,prefilter_rate,canary_rate,L2_rate,L3_rate,inj_rate,cand_denied_med
B1,3,A_exfiltration_FINAL,27,7097.888261079788,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
B1,3,B_iterative_FINAL,27,19512.227311730385,3.0,1.0,0.0,0.0,0.037037037037037035,0.0,0.0,3.0
B1,5,A_exfiltration_FINAL,27,6881.107375025749,5.0,1.0,0.0,0.0,0.037037037037037035,0.0,0.0,5.0
B1,5,B_iterative_FINAL,27,23348.499841988087,5.0,1.0,0.0,0.0,0.1111111111111111,0.0,0.0,5.0
B1,10,A_exfiltration_FINAL,27,9005.13195246458,10.0,1.0,0.0,0.0,0.037037037037037035,0.0,0.0,10.0
B1,10,B_iterative_FINAL,27,39900.709472596645,10.0,1.0,0.0,0.0,0.14814814814814814,0.0,0.0,10.0
B2,3,A_exfiltration_FINAL,27,550.1759201288222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
B2,3,B_iterative_FINAL,27,1644.2441940307615,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
B2,5,A_exfiltration_FINAL,27,550.265036523342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
B2,5,B_iterative_FINAL,27,1644.6768268942835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
B2,10,A_exfiltration_FINAL,27,551.0763004422187,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
B2,10,B_iterative_FINAL,27,1645.1308205723765,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0
B2u,3,A_exfiltration_FINAL,27,550.5374148488045,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
B2u,3,B_iterative_FINAL,27,1644.6884274482727,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
B2u,5,A_exfiltration_FINAL,27,550.3492653369902,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
B2u,5,B_iterative_FINAL,27,1643.4910669922829,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
B2u,10,A_exfiltration_FINAL,27,551.2318313121795,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0
B2u,10,B_iterative_FINAL,27,1646.1169943213465,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0
B3_S1,3,A_exfiltration_FINAL,27,11346.164748072624,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_S1,3,B_iterative_FINAL,27,27465.22268652916,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_S1,5,A_exfiltration_FINAL,27,12276.730224490166,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_S1,5,B_iterative_FINAL,27,27946.04719430208,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_S1,10,A_exfiltration_FINAL,27,8202.726073563099,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_S1,10,B_iterative_FINAL,27,26968.531444668773,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3_S2,3,A_exfiltration_FINAL,27,4058.200627565384,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
B3_S2,3,B_iterative_FINAL,27,16707.59727805853,2.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
B3_S2,5,A_exfiltration_FINAL,27,3881.4266175031657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
B3_S2,5,B_iterative_FINAL,27,16945.77518105507,2.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
B3_S2,10,A_exfiltration_FINAL,27,3884.961925446987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
B3_S2,10,B_iterative_FINAL,27,15929.654233157637,2.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
