system,k,n,L1_event_rate,avg_effective_k,prefilter_text_exposed_rate,p50_total_ms,p95_total_ms
B1,3,1800,1.0,3.0,0.0,6867.15030670166,32508.359149843447
B1,5,1800,1.0,5.0,0.0,9036.508072167635,60331.31291233003
B1,10,1800,1.0,10.0,0.0,15394.714385271072,65660.49383170903
B2,3,1800,1.0,0.0,0.0,552.3887984454632,1651.0412108153105
B2,5,1800,1.0,0.0,0.0,552.4177588522434,1651.0912157595158
B2,10,1800,1.0,0.02,0.0,552.7063086628914,1652.4125054478645
B2u,3,1800,1.0,0.0,1.0,552.308477461338,1651.4829982072115
B2u,5,1800,1.0,0.0,1.0,552.2179268300533,1651.3730969280005
B2u,10,1800,1.0,0.02,1.0,552.5255836546421,1652.7892656624317
B3_S1,3,1800,0.0,3.0,0.0,6213.713716715574,32439.78537842631
B3_S1,5,1800,0.0,5.0,0.0,8331.42913877964,48734.00663137435
B3_S1,10,1800,0.0,10.0,0.0,13376.460652798414,66203.49919088183
B3_S2,3,1800,0.0,0.40166666666666667,0.0,555.8023490011692,16682.68458917737
B3_S2,5,1800,0.0,0.42055555555555557,0.0,555.5971339344978,16614.32717479765
B3_S2,10,1800,0.0,0.4172222222222222,0.0,555.8006353676319,16954.734765365716
